ID,Label,Label_latin,Label_untreated,Name,Collective,Name_alternative,Honorific,Family_name,Family_name_alternative,Connector2,Surname,Surname_alternative,Senior/Junior,Alias,Origin_or_residence,Origin,Residence,Sex,Sex_guessing_hits,Sex_guessing_trace,Heretic,Order,Occupation/office,Occupation_general,Occupation_type,Occupation_guess_rank,Occupation_guess,Fugitive,Network,Relations,Footnotes,Notes,Pages_or_folios,Pages_introduction,Pages_footnotes,Original_entry_untreated_parts,Original_entry_complete,Entry_main_editor
1388,Raymonda Roque,"Raymunda, uxor Deodati Roca","Raymonda, wife of Daide Roque",Raymonda,,,,Roque,,,,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:62v,,,,"Raymonda, wife of Daide Roque [Raymunda, uxor Deodati Roca], 62v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1389,Raymonda of Four,"Raymonda, uxor Durandi de Furno","Raymonda, wife of Durand of Four",Raymonda,,,,,,of,Four,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:187v,,,,"Raymonda, wife of Durand of Four [Raymonda, uxor Durandi de Furno], 187v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1390,Raymonda Galhard,"Raymunda, concubina, uxor Galhardi Macellarii de Rabastenx","Raymonda, concubine, then wife of Galhard (the) Butcher of Rabastens",Raymonda,,,,Galhard,,of,Rabastens,,,,,,,f,fff,en_guess1 gender_role1 (concubine) gender_role1 (wife),no,,,,,,,,,,,,XXV:320r,,,concubine,"Raymonda, concubine, then wife of Galhard (the) Butcher of Rabastens [Raymunda, concubina, uxor Galhardi Macellarii de Rabastenx], 320r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1391,Raymonda Roger,"Raymunda, uxor Nicholaii Roger de Rocavidal","Raymonda, wife of Nicholas Roger of Roquevidal",Raymonda,,,,Roger,,of,Roquevidal,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXV:97r, XXV:97v",,,,"Raymonda, wife of Nicholas Roger of Roquevidal [Raymunda, uxor Nicholaii Roger de Rocavidal], 97r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1392,Raymonda Oliba,"Raymunda, uxor Petri Oliba, de Fanoiovis","Raymonda, wife of Peter Oliba, of Fanjeaux",Raymonda,,,,Oliba,,,,,,,Fanjeaux,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXV:144v, XXV:303v",,,of Fanjeaux,"Raymonda, wife of Peter Oliba, of Fanjeaux [Raymunda, uxor Petri Oliba, de Fanoiovis], 144v, 303v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1393,Raymonda of Area,"Raymunda, uxor Petri de Area de Soricino","Raymonda, wife of Peter of Area of Sorèze",Raymonda,,,,,,of,Area,,,,Sorèze,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,N71 Later wife of William Espanhol.,,"XXV:281v, XXV:284r, XXV:284v, XXV:294r",,,,"Raymonda, wife of Peter of Area of Sorèze [Raymunda, uxor Petri de Area de Soricino],{N71 Later wife of William Espanhol.} 281v, 284r–v, 294r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1394,Raymonda Maurel,"Raymonda, uxor Pontii Maurelli de Rocavidal/Maurela","Raymonda, wife of Pons Maurel of Roquevidal",Raymonda,,,,Maurel,,of,Roquevidal,,,Maurel woman,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXV:97r, XXV:109v, XXV:110r",,,,"Raymonda, wife of Pons Maurel of Roquevidal/Maurel woman [Raymonda, uxor Pontii Maurelli de Rocavidal/Maurela], 97r, 109v–110r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1395,Raymonda Favar,"Raymunda, uxor Raymundi Favar de Velhas","Raymonda, wife of Raymond Favar of Veilhes",Raymonda,,,,Favar,,of,Veilhes,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:111v,,,,"Raymonda, wife of Raymond Favar of Veilhes [Raymunda, uxor Raymundi Favar de Velhas], 111v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1396,Raymonda Molinier,"Raymunda, uxor Raymundi Molinerii de Cordua","Raymonda, wife of Raymond Molinier of Cordes",Raymonda,,,,Molinier,,of,Cordes,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXV:54v, XXV:57r, XXV:55r, XXV:55v, XXV:56r, XXV:56v, XXV:55(bis)r, XXV:55(bis)v, XXV:58r",,,,"Raymonda, wife of Raymond Molinier of Cordes [Raymunda, uxor Raymundi Molinerii de Cordua], 105; 54v–57r, 58r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1397,Raymonda of Caraman,"Raymunda, uxor Raymundi de Caramanno","Raymonda, wife of Raymond of Caraman",Raymonda,,,,,,of,Caraman,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXVI:35r,,,,"Raymonda, wife of Raymond of Caraman [Raymunda, uxor Raymundi de Caramanno], <35r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1398,Raymonda Faure,"Raymunda, uxor Guillielmi Fabri, de Vauro","Raymonda, wife of William Faure of Lavaur",Raymonda,,,,Faure,,of,Lavaur,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:73v,,,,"Raymonda, wife of William Faure of Lavaur [Raymunda, uxor Guillielmi Fabri, de Vauro], 73v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1399,Raymonda Aimery,Raimonda Aimerica,Raymonda Aimery,Raymonda,,,,Aimery,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,XXV:6v,,,,"Raymonda Aimery [Raimonda Aimerica], 6v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1400,Raymonda Arimand,"Raymunda Arimanda de Saxiaco, alias Cereria","Raymonda Arimand of Saissac, alias Cerier",Raymonda,,,,Arimand,,of,Saissac,,,Cerier,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,XXVI:18r,,,,"Raymonda Arimand of Saissac, alias Cerier [Raymunda Arimanda de Saxiaco, alias Cereria], 18r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1401,Raymonda Arland,Raymunda Arlanda,Raymonda Arland,Raymonda,,,,Arland,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXVI:34v, XXVI:35v, XXVI:36r, XXVI:36v, XXVI:39r, XXVI:40v",,,,"Raymonda Arland [Raymunda Arlanda], <34v>, <35v>, <36r–v>, <39r>, <40v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1402,Raymonda Arland,Raymunda Arlanda,Raymonda Arland,Raymonda,,,,Arland,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,XXVI:37v,,,,"Raymonda Arland [Raymunda Arlanda], <37v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1403,Raymonda Arnold,Raymunda Arnalda de Soricino,Raymonda Arnold of Sorèze,Raymonda,,,,Arnold,,of,Sorèze,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:296v, XXV:297r",,,,"Raymonda Arnold of Sorèze [Raymunda Arnalda de Soricino], 296v–297r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1404,Raymonda Autier,Raymunda Auteria/Alteria,Raymonda Autier,Raymonda,,,,Autier,,,,,,,,,,f,ff,latin_guess1 en_guess1,h,,,,,,,,,,,,"XXVI:12v, XXVI:14v, XXVI:13r, XXVI:13v, XXVI:14r, XXVI:34v, XXVI:35r, XXVI:39v, XXVI:40v, XXVI:41v",,,,"Raymonda Autier [Raymunda Auteria/Alteria], H, 12v–14v, 34v–35r, 39v, 40v, 41v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1405,Raymonda Boer,Raymunda Boeria/Boeria,Raymonda Boer,Raymonda,,,,Boer,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:261r, XXV:261v, XXV:282r, XXV:295r",,,,"Raymonda Boer [Raymunda Boeria/Boeria], 261r–v, 282r, 295r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1406,Raymonda Ceiara,Raymonda Ceiara,Raymonda Ceiara,Raymonda,,,,Ceiara,,,,,,,,,,f,ffff,latin_guess1 en_guess1 gender_role1 (maid) gender_role1 (maidservant),no,,maidservant,maidservant,servant,100,"{u'maidservant': [[100, u'maidservant', u'maidservant', u'servant'], [78, u'maidservant', u'servant', u'servant'], [63, u'maidservant', u'merchant', u'merchant']]}",,,,,,XXVI:77r,,,,"Raymonda Ceiara [Raymonda Ceiara], maidservant, 77r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1407,Raymonda den Ath,Raymonda den Ath,Raymonda den Ath,Raymonda,,,,,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:283v, XXV:294r, XXVI:3v",,,,"Raymonda den Ath [Raymonda den Ath], 283v, 294r, 3v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1408,Raymonda Ferrier,Raymonda Ferreria de Iulio,Raymonda Ferrier of Jul,Raymonda,,,,Ferrier,,of,Jul,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:241r, XXV:242v, XXV:241v, XXV:242r",,,,"Raymonda Ferrier of Jul [Raymonda Ferreria de Iulio], 94; 241r–242v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1409,Raymonda of Brugalenas,Raymunda de Brugalenas/Brugalenis de Blanno,Raymonda of Brugalenas of Blan,Raymonda,,,,,,of,Brugalenas,,,,Blan,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:280v, XXV:283v",,,,"Raymonda of Brugalenas of Blan [Raymunda de Brugalenas/Brugalenis de Blanno], 280v, 283v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1410,Raymonda of Dreuilhe,Raymonda de Drulia,Raymonda of Dreuilhe,Raymonda,,,lady,,,of,Dreuilhe,,,,,,,f,fff,latin_guess1 en_guess1 gender_role1 (lady),no,,,,,,,,,,,,XXVI:30r,,,,"Raymonda of Dreuilhe [Raymonda de Drulia], lady, 30r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1411,Raymonda of La Combe,Raymunda de Lacomba,Raymonda of La Combe,Raymonda,,,,,,of,La Combe,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,XXV:188r,,,,"Raymonda of La Combe [Raymunda de Lacomba], 188r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1412,Raymonda of La Garde,,Raymonda of La Garde,Raymonda,,,,,,of,La Garde,,,,,,,f,f,en_guess1,no,,,,,,,,,,,,,,,,"Raymonda of La Garde, 39 n. 14",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1413,Raymonda of Renneville,Raymunda de Ranevilla de Tholosa,Raymonda of Renneville of Toulouse,Raymonda,,,,,,of,Renneville,,,,Toulouse,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:314v, XXV:328v",,,,"Raymonda of Renneville of Toulouse [Raymunda de Ranevilla de Tholosa], 314v, 328v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1414,Raymonda Pradier,Raymunda Praderia,Raymonda Pradier,Raymonda,,,,Pradier,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,XXV:188r,,,,"Raymonda Pradier [Raymunda Praderia], 188r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1415,Raymonda Rama,Raymunda Rama,Raymonda Rama,Raymonda,,,,Rama,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:241v, XXV:242r",,,,"Raymonda Rama [Raymunda Rama], 241v–242r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1416,Raymonda Ricard,Raymunda (Ricard),Raymonda (Ricard),Raymonda,,,,,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,XXV:322r,,,,"Raymonda (Ricard) [Raymunda (Ricard)], 322r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1417,Raymonda Roger,Raymunda Rogeria,Raymonda Roger,Raymonda,,,,Roger,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,XXV:76r,,,,"Raymonda Roger [Raymunda Rogeria], 126; 76r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1418,Raymonda Sedacer,,Raymonda Sedacer,Raymonda,,,,Sedacer,,,,,,,,,,f,f,en_guess1,no,,,,,,,,,,,,,,,,"Raymonda Sedacer, 304r n. 36",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1419,Raymonda of Peter,"Raymunda, soror Petri de Mossolenx/Moisisolenx","Raymonda, sister of Peter of Moussoulens",Raymonda,,,,,,of,Peter,,,,,,,f,ff,en_guess1 gender_role1 (sister),h,,,,,,,,,,,,"XXV:287r, XXV:287v",,,sister of Peter of Moussoulens,"Raymonda, sister of Peter of Moussoulens [Raymunda, soror Petri de Mossolenx/Moisisolenx], H, 287r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1420,Raymonda Terrena,Raymunda Terrena de Rupe Vitali,Raymonda Terrena of Roquevidal,Raymonda,,,,Terrena,,of,Roquevidal,,,,,,,f,fff,latin_guess1 en_guess1 gender_role1 (maid),no,,maid,maid,servant,100,"{u'maid': [[100, u'maid', u'maid', u'servant']]}",,,,"N73 At 122r, only ‘Terrena’.",,"XXV:72v, XXV:98r, XXV:105v, XXV:106v, XXV:106r, XXV:121v, XXV:122v, XXV:122r",,,,"Raymonda Terrena of Roquevidal [Raymunda Terrena de Rupe Vitali], maid,{N73 At 122r, only ‘Terrena’.} 72v, 98r, 105v–106v, 121v–122v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1421,‘las Raynaldas’ (sister 1),"las Raynaldas, de Drulia","‘las Raynaldas’ (sister 1), of Dreuilhe",,,,,,,,,,,,,,,f,f,gender_role1 (sister),h,,,,,,,,,,,,XXVI:5r,,,of Dreuilhe,"‘las Raynaldas’ (sister 1), of Dreuilhe [las Raynaldas, de Drulia], H, <5r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1422,‘las Raynaldas’ (sister 2),"las Raynaldas, de Drulia","‘las Raynaldas’ (sister 2), of Dreuilhe",,,,,,,,,,,,,,,f,f,gender_role1 (sister),h,,,,,,,,,,,,XXVI:5r,,,of Dreuilhe,"‘las Raynaldas’ (sister 2), of Dreuilhe [las Raynaldas, de Drulia], H, <5r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1423,Raynaldet of Sorèze,Raynaldetus de Soricino,Raynaldet of Sorèze,Raynaldet,,,,,,of,Sorèze,,,,,,,m,m,latin_guess1,h,,,,,,,,,,,,XXV:252r,,,,"Raynaldet of Sorèze [Raynaldetus de Soricino], H, 252r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1424,Reginald of Chartres,Reginaldus,Reginald of Chartres,Reginald,,,,,,of,Chartres,,,,,,,m,m,latin_guess1,no,OP,inquisitor,inquisitor,churchperson,100,"{u'inquisitor': [[100, u'inquisitor', u'inquisitor', u'churchperson'], [80, u'inquisitor', u'vice-inquisitor', u'churchperson']]}",,i,,,,"XXV:86v, XXV:87v, XXV:127v, XXV:271v, XXV:272r, XXVI:55r, XXVI:64r",,,,"Reginald of Chartres [Reginaldus], OP, inquisitor, 10, 40, 50, 89; 86v, 87v, 127v, 271v–272r, 54v n. 3, 55r, 64r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1425,Reginald/Reynard of Palajac,Reginaldus/Raynardus de Palaiaco,Reginald/Reynard of Palajac,Reginald/Reynard,,,,,,of,Palajac,,,,,,,m,m,latin_guess1,no,,knight,knight,knight/noble,100,"{u'knight': [[100, u'knight', u'knight', u'knight/noble']]}",,,,,,"XXV:151v, XXV:154r, XXV:173r, XXV:174r, XXVI:52r, XXVI:54r",,,,"Reginald/Reynard of Palajac [Reginaldus/Raynardus de Palaiaco], knight, 30v n. 22, 151v, 154r, 173r, 174r, 50v n. 6, 52r, 52r n. 20, 52v n. 23, 53r n. 28, 54r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1426,Ric of Ribaura,"Ric de Ribaura de Laseu, de Mediolano","Ric of Ribaura of La Seu, of Milan",Ric,,,,,,of,Ribaura,,,,"La Seu,",,,m,,,no,,,,,,,,d,,,,"XXV:329r, XXV:329v",,,of Milan,"Ric of Ribaura of La Seu, of Milan [Ric de Ribaura de Laseu, de Mediolano], 329r–v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1427,Rica Major,"Rica, uxor Rogerii Maioris","Rica, wife of Roger Major",Rica,,,,Major,,,,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXVI:39r, XXVI:40v",,,,"Rica, wife of Roger Major [Rica, uxor Rogerii Maioris], 39r, 40v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1428,Richa,"Richa, uxor Lobenx/Lobenchi","Richa, wife of Loubens",Richa,,,lady,,,,,,,,,,,f,fff,en_guess1 gender_role1 (lady) gender_role1 (wife),no,,,,,,,,,,,,XXV:285v,,,,"Richa, wife of Loubens [Richa, uxor Lobenx/Lobenchi], lady, 285v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1429,Richa Pechavin,Richa Pechavina,Richa Pechavin,Richa,,,,Pechavin,,,,,,,,,,f,ff,latin_guess1 en_guess1,h,,,,,,,,,,,,"XXV:77r, XXV:110v",,,,"Richa Pechavin [Richa Pechavina], H, 77r, 110v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1430,Richardis Gardouch,"Ricarda/Richarda, uxor Arnaldi Gardog","Richardis, wife of Arnold Gardouch",Richardis,,,lady of Roquevidal,Gardouch,,,,,,,,,,f,fff,en_guess1 gender_role1 (lady) gender_role1 (wife),no,,,,,,,,,,,,"XXV:109v, XXV:110r, XXV:115v, XXV:116v, XXV:116r",,,,"Richardis, wife of Arnold Gardouch [Ricarda/Richarda, uxor Arnaldi Gardog], lady of Roquevidal, 109v–110r, 115v–116v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1431,Richardis Arquier,"Richardis, uxor Raymundi Arquerii, alias Baussani","Richardis, wife of Raymond Arquier, alias Baussan",Richardis,,,,Arquier,,,,,,Baussan,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:280v,,,,"Richardis, wife of Raymond Arquier, alias Baussan [Richardis, uxor Raymundi Arquerii, alias Baussani], 280v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1432,Richardis Raffard,"Richardis/Richarda, uxor Raymundi Rafardi","Richardis, wife of Raymond Raffard",Richardis,,,,Raffard,,,,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,"XXVI:18v, XXVI:20r, XXVI:20v, XXVI:29r, XXVI:36v",,,,"Richardis, wife of Raymond Raffard [Richardis/Richarda, uxor Raymundi Rafardi], <18v>, <20r–v>, <29r>, <36v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1433,Richardis Borrel,Ricardis Borrella,Richardis Borrel,Richardis,,,,Borrel,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXVI:39r, XXVI:39v",,,,"Richardis Borrel [Ricardis Borrella], <39r–v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1434,Richards of Avignonet,Ricards de Avinione,Richards of Avignonet,Richards,y,,,,,of,Avignonet,,,,,,,,,,no,,,,,,,,d,,,Impossible to individualize the members and tell the sex on the basis of the two references.,"XXV:322r, XXV:327v",,,,"Richards of Avignonet [Ricards de Avinione], 322r, 327v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1435,Rixendis,Rixendis,Rixendis,Rixendis,,,,,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,XXV:276r,,,,"Rixendis [Rixendis], 276r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1436,Rixendis of Puybégon,"Rixendis, que habet virum apud Podium Bego","Rixendis, wife of (?) of Puybégon",Rixendis,,,,,,of,Puybégon,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:111v,,,,"Rixendis, wife of (?) of Puybégon [Rixendis, que habet virum apud Podium Bego], 111v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1437,Rixendis of Plausolas,"Rixenda, uxor Raymundi de Plausolas","Rixendis, wife of Raymond of Plausolas",Rixendis,,,,,,of,Plausolas,,,,,,,f,ff,en_guess1 gender_role1 (wife),no,,,,,,,,,,,,XXV:124r,,,,"Rixendis, wife of Raymond of Plausolas [Rixenda, uxor Raymundi de Plausolas], 124r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1438,Rixendis Baussan,Rixendis Baussana de Soricino,Rixendis Baussan of Sorèze,Rixendis,,,,Baussan,,of,Sorèze,,,,,,,f,ff,latin_guess1 en_guess1,h,,,,,,,,,,,,"XXV:249v, XXV:275v, XXV:276r, XXV:277v, XXV:280r, XXV:278r, XXV:278v, XXV:279r, XXV:279v, XXV:281r, XXV:282r, XXV:281v, XXV:283r, XXV:284v, XXV:283v, XXV:284r, XXV:286r, XXV:287v, XXV:288r, XXV:290v, XXV:291r, XXV:293r, XXV:294r, XXV:295v, XXVI:2v, XXVI:3v, XXVI:5r, XXVI:4r, XXVI:4v",,,,"Rixendis Baussan of Sorèze [Rixendis Baussana de Soricino], H, 100; 249v, 275v–276r, 277v–280r, 281r–282r, 283r–284v, 286r, 287v–288r, 290v–291r, 293r, 294r, 295v, 2v, 3v–5r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1439,Rixendis Cibrand,Rixendis Cibranda,Rixendis Cibrand,Rixendis,,,,Cibrand,,,,,,,,,,f,fff,latin_guess1 en_guess1 gender_role1 (maid),no,,maid,maid,servant,100,"{u'maid': [[100, u'maid', u'maid', u'servant']]}",,,,,,XXVI:5r,,,,"Rixendis Cibrand [Rixendis Cibranda], maid, 5r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1440,Rixendis Hugh,Rixenda/Rixendis Ugona,Rixendis Hugh,Rixendis,,,,Hugh,,,,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:68r, XXV:90v, XXV:92v, XXV:108r",,,,"Rixendis Hugh [Rixenda/Rixendis Ugona], 68r, 90v, 92v, 108r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1441,Rixendis of Mireval,Ricsendis de Miravalle de Graulheto quæ aliter cognominatur de Laboria,"Rixendis of Mireval of Graulhet, who is also surnamed of La Borie",Rixendis,,,,,,of,Mireval,,,,,,,f,ff,latin_guess1 en_guess1,no,,,,,,,,,,,,"XXV:154r, XXV:155r, XXV:173r, XXV:177v, XXV:173v, XXV:174r, XXV:174v, XXV:175r, XXV:175v, XXV:176r, XXV:176v, XXV:177r",,,who is also surnamed of La Borie,"Rixendis of Mireval of Graulhet, who is also surnamed of La Borie [Ricsendis de Miravalle de Graulheto quæ aliter cognominatur de Laboria], 72 n. 17; 154r, 155r, 173r–177v, 178r n. 1",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1442,Rixendis of Vueiasac,Rixendis de Vueiasac,Rixendis of Vueiasac,Rixendis,,,,,,of,Vueiasac,,,,,,,f,ff,latin_guess1 en_guess1,h,,,,,,,,,,,,XXVI:10r,,,,"Rixendis of Vueiasac [Rixendis de Vueiasac], H, 10r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1443,Robin,Robinus,Robin,Robin,,,,,,,,,,,,,,m,mm,latin_guess1 gender_role1(son),no,,servant of the keeper of the prisoners,keeper of the prison,servant,69,"{u'servant of the keeper of the prisoners': [[69, u'servant of the keeper of the prisoners', u'keeper of the prison', u'servant'], [63, u'servant of the keeper of the prisoners', u'servant of the inquisitors', u'servant'], [62, u'servant of the keeper of the prisoners', u'lieutenant of the deacon of the heretics', u'dissident minister']]}",,i,,,,XXV:64v,,,servant of the keeper of the prisoners,"Robin [Robinus], servant of the keeper of the prisoners, 59, 97, 108, 111; 64v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1444,the Roca brothers,Roca fratres de Berlan,the Roca brothers (unspecified number) of Berlan,,y,,,,,,,,,,,,,m,<fmm>,latin_guess1 gender_role1(brother) gender_role1(brothers),no,,,,,,,,,,,unspecified number: added by DZ,XXV:183v,,,,"the Roca brothers (unspecified number) of Berlan [Roca fratres de Berlan], 183v {unspecified number: added by DZ}",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1445,Rodrigo Fernandes,Rodoricus Ferrandi,Rodrigo Fernandes,Rodrigo,,,,Fernandes,,,,,,,,,,m,m,latin_guess1,no,,Portugese priest,priest,churchperson,,first word,,,,,,"XXV:226v, XXV:228v, XXV:227r, XXV:227v, XXV:228r",,,,"Rodrigo Fernandes [Rodoricus Ferrandi], Portugese priest, 226v–228v",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1446,Roger,Rogerius,Roger,Roger,,,,,,,,,,,,,,m,m,latin_guess1,h,,,,,,,,,,N75 Probably the same as Roger of Lasbordes.,,"XXVI:13v, XXVI:34r, XXVI:41v, XXVI:42r",,,,"Roger [Rogerius], H,{N75 Probably the same as Roger of Lasbordes.} <13v>, <34r>, <41v–42r>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1447,Roger IV,,Roger IV,Roger,,,,,,,,,,,,,,m,,,no,,count of Foix,count,knight/noble,,first word,,,,,,XXV:77r,,,,"Roger IV, count of Foix, 36; 77r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1448,Roger Argenti,Rogerius Argenti de Mediolano,Roger Argenti of Milan,Roger,,,,Argenti,,of,Milan,,,,,,,m,mm,latin_names1(Rogerius) latin_guess1,no,,,,,,,,,,,,XXV:329r,,,,"Roger Argenti of Milan [Rogerius Argenti de Mediolano], 329r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1449,Roger-Bernard III,,Roger-Bernard III,Roger-Bernard,,,,,,,,,,,,,,m,,,no,,count of Foix,count,knight/noble,,first word,,,,,,XXV:77r,,,,"Roger-Bernard III, count of Foix, 36, 42; 77r",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1450,Roger of Lasbordes,"Rogerius de Bordis, Lauraguesio","Roger of Lasbordes, of Lauragais",Roger,,,,,,of,Lasbordes,,,,Lauragais,,,m,mm,latin_names1(Rogerius) latin_guess1,h,,,,,,,,,,,,"XXVI:24r, XXVI:24v",,,of Lauragais,"Roger of Lasbordes, of Lauragais [Rogerius de Bordis, Lauraguesio], H, <24r–v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1451,Roger of Monserrat,,Roger of Monserrat,Roger,,,,,,of,Monserrat,,,,,,,m,,,no,,,,,,,,,,,,,,,,"Roger of Monserrat, 52v n. 23",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
1452,Roger Major,Rogerius Maior de Ruppeforti,Roger Major of Roquefort,Roger,,,,Major,,of,Roquefort,,,,,,,m,mm,latin_names1(Rogerius) latin_guess1,no,,,,,,,,,,"N76 Here referred to as from Roquefort, who now lives at Cabrespine in the Cabardès.",,"XXVI:13r, XXVI:39r, XXVI:40v",,,,"Roger Major of Roquefort [Rogerius Maior de Ruppeforti], <13r>, <39r> {N76 Here referred to as from Roquefort, who now lives at Cabrespine in the Cabardès.}, <40v>",TABULATOR-RT v0.1 2017-05-23 22:01:08.233000
